"filename", "language", "Rust", "Markdown", "JSON", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\interop_correctness.rs", "Rust", 218, 0, 0, 0, 0, 51, 28, 297
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\mod.rs", "Rust", 6, 0, 0, 0, 0, 1, 1, 8
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\playback_smoke.rs", "Rust", 94, 0, 0, 0, 0, 16, 29, 139
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\tests\render_integration.rs", "Rust", 176, 0, 0, 0, 0, 16, 25, 217
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\effect.rs", "Rust", 87, 0, 0, 0, 0, 8, 19, 114
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\ids.rs", "Rust", 36, 0, 0, 0, 0, 9, 10, 55
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\mod.rs", "Rust", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\mutation.rs", "Rust", 331, 0, 0, 0, 0, 25, 42, 398
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\query.rs", "Rust", 57, 0, 0, 0, 0, 4, 7, 68
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\rational.rs", "Rust", 77, 0, 0, 0, 0, 10, 14, 101
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\source.rs", "Rust", 141, 0, 0, 0, 0, 2, 20, 163
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\store.rs", "Rust", 155, 0, 0, 0, 0, 12, 39, 206
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\tests.rs", "Rust", 228, 0, 0, 0, 0, 10, 32, 270
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\track.rs", "Rust", 100, 0, 0, 0, 0, 11, 21, 132
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\timeline\transform.rs", "Rust", 91, 0, 0, 0, 0, 43, 25, 159
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\app.rs", "Rust", 781, 0, 0, 0, 0, 59, 105, 945
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\history.rs", "Rust", 57, 0, 0, 0, 0, 0, 11, 68
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\inspector.rs", "Rust", 302, 0, 0, 0, 0, 15, 29, 346
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\media_pool.rs", "Rust", 138, 0, 0, 0, 0, 7, 15, 160
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\mod.rs", "Rust", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\timeline.rs", "Rust", 826, 0, 0, 0, 0, 65, 105, 996
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\top_bar.rs", "Rust", 102, 0, 0, 0, 0, 5, 10, 117
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\layout\viewport.rs", "Rust", 261, 0, 0, 0, 0, 7, 41, 309
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\ui\src\main.rs", "Rust", 56, 0, 0, 0, 0, 1, 11, 68
"c:\Users\bmiko\nexir\AGENTS.md", "Markdown", 0, 66, 0, 0, 0, 0, 29, 95
"c:\Users\bmiko\nexir\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 8, 31
"c:\Users\bmiko\nexir\build.rs", "Rust", 41, 0, 0, 0, 0, 8, 7, 56
"c:\Users\bmiko\nexir\examples\export_test.rs", "Rust", 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\bmiko\nexir\examples\probe_image.rs", "Rust", 47, 0, 0, 0, 0, 0, 3, 50
"c:\Users\bmiko\nexir\examples\probe_test.rs", "Rust", 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\bmiko\nexir\examples\test2.rs", "Rust", 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\bmiko\nexir\examples\test_nvenc.rs", "Rust", 105, 0, 0, 0, 0, 16, 19, 140
"c:\Users\bmiko\nexir\package_windows.ps1", "PowerShell", 0, 0, 0, 0, 63, 9, 17, 89
